N	51.9018	-8.4582	D244	09 Nov 2020	D244\nCork to Cobh\nExpected Departure 12:00	To Cobh
N	51.9212	-8.17579	P279	09 Nov 2020	P279\nMidleton to Cork\nExpected Departure 11:45	To Cork
N	52.6587	-8.62397	A431	09 Nov 2020	A431\nLimerick to Limerick Junction\nExpected Departure 11:50	To Limerick Junction
N	53.2043	-6.10046	E919	09 Nov 2020	E919\nBray to Howth\nExpected Departure 11:55	Northbound
N	53.3464	-6.29461	A212	09 Nov 2020	A212\nDublin Heuston to Cork\nExpected Departure 12:00	To Cork
N	53.3891	-6.07401	E113	09 Nov 2020	E113\nHowth to Greystones\nExpected Departure 12:00	Southbound
R	0	0	A206	09 Nov 2020	A206\n09:00 - Dublin Heuston to Cork (11 mins late)\nDeparted Killarney Junction next stop Cork	To Cork
R	0	0	A210	09 Nov 2020	A210\n11:00 - Dublin Heuston to Cork (0 mins late)\nDeparted PL102 next stop Templemore	To Cork
R	0	0	A509	09 Nov 2020	A509\n11:00 - Waterford to Dublin Heuston (4 mins late)\nDeparted Lavistown North next stop Muine Bheag	To Dublin Heuston
R	52.1396	-8.65521	A213	09 Nov 2020	A213\n11:25 - Cork to Dublin Heuston (-1 mins late)\nDeparted Mallow next stop Limerick Junction	To Dublin Heuston
R	52.1396	-8.65521	A304	09 Nov 2020	A304\n11:20 - Mallow to Tralee (4 mins late)\nDeparted Mallow next stop Banteer	To Tralee
R	52.3468	-8.65362	A208	09 Nov 2020	A208\n10:00 - Dublin Heuston to Cork (0 mins late)\nDeparted Charleville next stop Mallow	To Cork
R	52.6404	-8.52719	A472	09 Nov 2020	A472\n11:35 - Limerick Junction to Ennis (-1 mins late)\nDeparted Killonan next stop Limerick	To Ennis
R	52.7878	-7.82293	A211	09 Nov 2020	A211\n10:25 - Cork to Dublin Heuston (1 mins late)\nArrived Templemore next stop Dublin Heuston	To Dublin Heuston
R	52.992	-6.9762	A504	09 Nov 2020	A504\n10:15 - Dublin Heuston to Waterford (1 mins late)\nDeparted Athy next stop Carlow	To Waterford
